waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=1.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=2.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=3.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=4.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / (- OP("/M0" "ids"))) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Lp=5.3e-07) Y
1.627171489899558,24126009429.51998,1.814031688238591,12077742875.03174,1.881088490644229,7248939831.779569,1.916400257184086,4840625257.878279,1.938475359887067,3464624497.599471,1.953681892175978,2603662699.174685,1.964832492164208,2028754961.940376,1.973374682858044,1625606313.380141,1.980134630820054,1331894416.003747,1.985620468935853,1111246960.747804,1.99016292042334,941259950.8043061
1.670552758099336,24383962454.34423,1.863786290480222,12196869402.32117,1.933046196454649,7318867671.865058,1.969488334975581,4887192906.388874,1.992259461707673,3498145177.765337,2.007941172244843,2629098332.489904,2.019438304393082,2048803796.481258,2.028245053523764,1641869058.964318,2.035213906832809,1345384697.96095,2.040869045283441,1122640076.851004,2.045551570747527,951024463.8919531
1.71567042319651,24642536261.45502,1.915641868990972,12315839830.94006,1.98723458037805,7388572121.572919,2.024873202341423,4933546627.64783,2.048380593077701,3531473834.705215,2.064564656555903,2654364471.703934,2.07642795887754,2068703624.632588,2.085514149614469,1658000757.550339,2.092703592790485,1358759477.55222,2.098537458209283,1133931093.907791,2.103367829774492,960698435.0946544
1.7626039841272,24901300070.07775,1.969704456056669,12434423518.13356,2.043769677653778,7457913735.249596,2.082675922934015,4979592964.925225,2.106962788245001,3564543142.0163,2.123678322829308,2679409965.811287,2.13592879725168,2088413969.352928,2.145310320194878,1673968338.373534,2.152732811421008,1371991037.904796,2.158755443045344,1145096300.361024,2.163741930029125,970261237.9842198
1.811434483792338,25159750814.50873,2.026083060088117,12552349200.6883,2.102771110847095,7526727911.618073,2.143021433081866,5025221437.173081,2.168134099935134,3597273547.567105,2.185412246540591,2704174514.261898,2.198072303717192,2107887294.621251,2.207766082714191,1689733154.124292,2.215434868693491,1385047171.153543,2.221656926679758,1156108308.892353,2.226808299906573,979689195.2440192
1.862243999041227,25417304890.77918,2.084888907506715,12669299061.24532,2.16436124047252,7594820923.840164,2.206037637753882,5070301726.210078,2.232025655403898,3629571171.999605,2.249899625582034,2728587031.573376,2.262993104137848,2127067693.131722,2.273017100832739,1705249903.148301,2.280946213680381,1397890277.295424,2.287378972057311,1166935292.375327,2.292704494898751,988954923.5968367
1.915115057696806,25673290147.40604,2.146234473321382,12784902421.04946,2.228664039648572,7661965593.574301,2.271854194418812,5114680582.275953,2.298770376978722,3661325487.358465,2.31727545281747,2752563837.34193,2.330827600554666,2145889432.062878,2.341200787908772,1720465433.540675,2.349405016211976,1410476362.615388,2.356060333983478,1177540132.795603,2.361569734674967,998026602.0755293
1.970130005689127,25926938644.84109,2.210232293969469,12898729286.60505,2.295803666102536,7727896719.887837,2.340600946224261,5158178512.34121,2.368501320957288,3692406818.18403,2.387674785232795,2776006702.065128,2.401712186085588,2164275380.243298,2.412454478283996,1735317447.914811,2.420949302252654,1422753953.369027,2.427839564387086,1187879496.59404,2.433542982713858,1006867175.404909
2.027370362505891,26177380856.93578,2.276993576075615,13010284107.53514,2.36590272335278,7792306458.828195,2.412405982943054,5200586373.986157,2.441349604762222,3722663749.922867,2.461230573770006,2798800811.503072,2.475781000134053,2182135365.423251,2.48691312317971,1749733148.102665,2.495714601403053,1434662957.281089,2.502852619529865,1197902864.048915,2.5087605194159,1015433516.335734
2.086916220881574,26423642126.13702,2.346626644862461,13119000261.55818,2.43908023431834,7854839961.224528,2.487393339454259,5241662077.239957,2.517441923411825,3751920588.57717,2.53807104903235,2820812757.787958,2.55316321494759,2199364546.432048,2.564706499197118,1763627888.335863,2.573831092204374,1446133529.677613,2.581229953026354,1207551560.737998,2.587352991106302,1023675588.213534
2.14884576509646,26664642283.51221,2.419235317150863,13224235960.26705,2.515449398196731,7915091713.119047,2.565680391664321,5281127697.988703,2.596897707992389,3779975092.243356,2.618316710755956,2841888725.364924,2.633979898146684,2215841932.921926,2.645955971727763,1776903944.636599,2.655420285864182,1457085033.679189,2.663093134029542,1216757866.677344,2.669441973313214,1031535672.657526
2.213234971017779,26899199272.52958,2.494917335519036,13325272444.73788,2.595115267040891,7972603175.523341,2.647375082225965,5318667424.724342,2.679826055503379,3806596787.025218,2.702077048623893,2861853112.602433,2.718340577812876,2231429244.224776,2.730770939379314,1789449556.592575,2.740591374330943,1467425224.423018,2.748551116514903,1225444313.132257,2.755136174367887,1038947756.766232
2.280157807647534,27126038387.38104,2.573763050512568,13421315466.78378,2.678172560581155,8026862466.429817,2.732573203515912,5353926882.164095,2.766322662787126,3831526277.753983,2.789447231133963,2880507909.075566,2.806339750216815,2245970363.689306,2.819245202435575,1801138451.571465,2.8294374883298,1477049832.666957,2.837696407578359,1233523315.796346,2.844527529294588,1045837207.628796
2.349686393527127,27343805451.09965,2.655854658094011,13511501169.09957,2.76470392904458,8077306931.136253,2.821356077226216,5386514475.113557,2.856467122419747,3854476049.513506,2.880505133742782,2897633220.08815,2.89805371175148,2259291704.72381,2.91145364527625,1811830111.871771,2.92203226222765,1485842766.040157,2.930601537489802,1240897329.893444,2.937687591773441,1052120893.872289
