waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.02e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.02e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.12e-06) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=1.12e-06) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=2.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=2.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=3.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=3.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=4.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=4.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=5.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=5.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=6.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=6.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=7.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=7.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=8.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=8.2e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=9.2e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "id")) ?y (OP("/M0" "gm") / 6.283185 / OP("/M0" "cgg"))) (Lnmos=9.2e-07) Y
27.77560775247843,2638059.449656753,26.21875733283438,21158465.5634661,26.0676917009825,20326988.28494248,27.66072938320285,15379741.87035326,27.52069011354115,17652885.05922703,27.3671073543896,18960903.02480222,27.18345811631176,20212709.28879305,26.98100768939395,21230656.46927093,26.77427314835598,21855119.55585545,26.57432240533282,22020678.14455846,26.38800197842663,21758559.29651141
27.76037611590831,3485103.775337135,26.00371611515811,25385304.45491421,25.85345096990736,24151021.20147486,27.58470093331896,20222934.60879321,27.40572383111375,23059888.8202779,27.22475792894726,24564883.60821307,27.01843648222273,25910515.55525279,26.79738937148872,26870624.41174072,26.57647501781844,27274639.2234131,26.36683384900293,27092315.3554096,26.17497085740547,26413988.58860499
27.74292895968326,4602835.858956584,25.78779578579205,30119477.98528916,25.6413475510329,28421375.25344957,27.49892684317188,26545560.83640099,27.27797824479468,30018106.7046766,27.06867272149395,31650967.79364929,26.83990087053106,32960000.33907654,26.6015476963691,33676737.67398427,26.36864515340111,33650917.86843193,26.15213442119484,32926637.47210796,25.95787247520531,31679930.83587668
27.72295463551594,6077115.938012389,25.57450397658814,35417563.38923491,25.43482647419545,33224342.8787024,27.40244097727792,34774454.0007229,27.13677226020992,38913876.02402463,26.89874495816145,40517295.93529554,26.6484700583725,41556862.7002864,26.39491224839416,41750347.42665004,26.15300081778225,41023349.99672955,25.93309654824139,39542132.6730994,25.74002248931552,37585955.15699454
27.70010100180939,8020710.649185283,25.36717168927772,41400077.85666058,25.23677626485861,38715213.34654318,27.29426570413469,45445592.5952311,26.98160733057475,50197491.2438632,26.71523170637219,51475486.92305367,26.44526613499708,51874765.0257406,26.17948506010917,51163724.33983231,25.93230112964469,49422231.74211567,25.71299167517872,46979348.36018173,25.5248884193069,44210248.59929431
27.67397122142357,10581555.16333651,25.16845873873529,48274568.23324698,25.04894540572054,45132851.67740175,27.1734400529833,59224057.67871553,26.8122364290365,64376654.16991794,26.51883110641153,64830807.04280048,26.23196365812639,64053169.27035055,25.95782198385044,61970394.16112933,25.70972490146594,58899299.98931686,25.49524210624757,55338177.32657994,25.3157113898223,51712013.41469928
27.64411947053221,13953463.45263983,24.97975790075701,56351763.86144532,24.87130176450986,52808445.51711487,27.03905605718613,76922969.46468236,26.62873840365948,82000365.83388244,26.31074762135298,80860280.09711672,26.01079840839449,78198749.34954524,25.73293920430928,74236756.01791996,25.48864191841523,69573201.41487406,25.2830472156908,64818354.22327415,25.11500310080745,60359168.03124709
27.61004669108716,18389964.69912088,24.80056068038203,66054960.41280038,24.7014291889269,62170354.00851285,26.890303691842,99518124.92302935,26.43159203288377,103632586.3430956,26.092731022117,99797989.75701107,25.78451410733857,94411077.28402513,25.50812138741042,88095456.43185441,25.27226180628686,81681408.95219213,25.07888688358576,75754570.97535531,24.92394867317271,70547444.57218613
27.57119657294539,24222105.65762676,24.62788611264339,77925134.11930148,24.53408842605828,73747187.74877639,26.72652402697871,128153588.3392425,26.22174090426457,129819391.9698302,25.86707072456403,121841807.5169172,25.55622378194908,112838898.1377342,25.28661315517154,103812421.2717585,25.06316053833699,95627456.83393024,24.88393258126593,88641006.45661759,24.74178222790241,82811303.46422599
27.52695201811811,31881244.17351042,24.45590279531009,92624032.58867244,24.36108042879549,88169564.3910286,26.54726899596866,164132351.7317087,26.00063653197905,161060729.2152364,25.63652394566342,147196661.4396546,25.32916479112269,133763208.6259595,25.07118848099888,121853477.7692825,24.86271035608582,112015523.2455903,24.69743206252624,104145398.5201129,24.5652393790927,97829700.69714712
