waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=1.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=2.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=3.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=4.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") / (6.283185 * OP("/M0" "cgg")))) (Ln=5.3e-07) Y
1.268143638700315,65159383242.00431,1.369367064528187,43482329603.95229,1.410022420964644,30654189642.765,1.435708850185764,22709996906.60012,1.455772138524555,17497100936.9836,1.472521514257359,13897597655.55286,1.486766651787794,11307214120.96177,1.499020755372294,9380193317.096437,1.509618010708049,7907280854.934223,1.518844594191747,6755937758.028465,1.526932073097178,5838797309.505913
1.293550048247523,65700306319.33942,1.40064865507383,43935486799.22608,1.444171837658005,31012444344.17025,1.471158332305562,22986767947.19792,1.491849017179626,17713125029.46734,1.508932769087404,14069656114.85364,1.523431078184908,11447360974.42903,1.535854778777563,9496468848.98839,1.5465868573442,8005342256.952202,1.555925666717998,6839797615.303082,1.564109242523026,5911369542.7671
1.319502820688047,66229198199.95596,1.432731682650798,44380833025.81664,1.479374662310603,31367772675.29839,1.507842686103873,23263126247.28037,1.529248496175717,17929524158.59215,1.546774398594442,14242559324.44501,1.561542319665106,11588252266.47119,1.574161394762835,9613427658.040226,1.585046098915162,8104011452.092698,1.594510060217216,6924194276.587867,1.602799515476257,5984417088.352451
1.346022895668484,66745819879.96097,1.465603753590825,44817143724.6562,1.515618336610022,31718969490.67788,1.545764568144958,23538204121.80174,1.568055614740915,18146089294.50511,1.586070678253314,14415861880.27611,1.60115453393808,11729643394.34154,1.613999576870435,9730881787.64953,1.625058196737891,8203137814.306822,1.634662830387862,7009002935.511185,1.643069931518201,6057833832.300324
1.373129236216742,67249924000.46255,1.499341481847404,45244387051.03073,1.552977988074606,32065653412.20739,1.584998986488739,23811612927.30711,1.608279950336492,18362130993.58309,1.626868017933601,14589187011.99299,1.642321595995233,11871256907.47476,1.655428648449338,9848617913.496691,1.666686492598918,8302550864.253029,1.67645034723802,7094082949.259028,1.684989198111598,6131500769.73893
1.400847961938956,67741426379.37009,1.533932157735001,45661367900.29942,1.591435811421908,32406529628.02411,1.625540488947602,24082342321.5882,1.649956166178024,18577065809.30836,1.669211452195964,14762113113.68453,1.6850966322835,12012779512.84393,1.698507814578355,9966394497.808447,1.709994765051075,8402057774.535101,1.719939885210818,7179275719.848777,1.728627316281035,6205284227.58712
1.429223622521684,68220565507.04368,1.569399747504846,46067414701.60015,1.631009097312195,32740646873.2001,1.66741128583483,24349555187.49532,1.693117045059274,18790259466.50762,1.713144256063661,14934171982.98775,1.729531523826338,12153859338.52487,1.743295631320871,10083938950.63337,1.755046703944313,8501440756.196642,1.765199120511631,7264402399.416914,1.774055107409074,6279033890.170063
1.458275947603293,68687154620.55245,1.605772038374334,46461932220.33479,1.671717104188927,33067076062.72464,1.710632985465613,24612384561.88897,1.737793463786727,19001029671.03465,1.758707608521993,15104848054.73057,1.775676400430026,12294103673.91294,1.789849425245325,10200944950.42574,1.801905308174383,8600454427.455626,1.812295534355536,7349261484.358022,1.821343635108085,6352580667.829535
1.488039515077373,69141277239.17537,1.64308101132741,46844403932.30448,1.713581765284317,33384922864.90011,1.755227138954458,24869944231.26965,1.784014509150013,19208650771.24176,1.805940340389939,15273578922.24273,1.823579156971507,12433077444.88065,1.838224685152621,10317070120.00535,1.850632219723528,8698823305.202379,1.861295727670477,7433626396.500081,1.870548995201786,6425713387.87021
1.518551940856822,69583064886.91762,1.681363194192874,47214392542.37241,1.756628431728907,33693339464.60742,1.801215930781348,25121340726.66999,1.831807764960572,19412360392.25858,1.854878808442592,15439757431.19027,1.87328503213502,12570302712.84133,1.888474458706694,10431934297.30544,1.901287017597024,8796239603.275692,1.912264662353313,7517243188.565881,1.921780748838245,6498277305.149879
