waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=1.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=2.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.3e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.7e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=3.7e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.1e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.1e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.5e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.5e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.9e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=4.9e-07) Y,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=5.3e-07) X,waveVsWave(?x (OP("/M0" "gm") / OP("/M0" "ids")) ?y (OP("/M0" "gm") * OP("/M0" "rout"))) (Ln=5.3e-07) Y
1.268143638700315,2.021775796144268,1.369367064528187,1.951803333849412,1.410022420964644,1.739655507331812,1.435708850185764,1.60652989725951,1.455772138524555,1.528120893482693,1.472521514257359,1.479736715781211,1.486766651787794,1.448012174504026,1.499020755372294,1.426102009470192,1.509618010708049,1.410240032196659,1.518844594191747,1.398316296837993,1.526932073097178,1.38907142979894
1.293550048247523,2.110893446156251,1.40064865507383,2.058457818003795,1.444171837658005,1.836164986317173,1.471158332305562,1.692716019543077,1.491849017179626,1.607043054573458,1.508932769087404,1.553700578982294,1.523431078184908,1.518605570323781,1.535854778777563,1.494237728698965,1.5465868573442,1.476544325138825,1.555925666717998,1.463212746340118,1.564109242523026,1.452856533790145
1.319502820688047,2.203507290174792,1.432731682650798,2.172280343673296,1.479374662310603,1.940402147064663,1.507842686103873,1.78621607190069,1.529248496175717,1.692706404282051,1.546774398594442,1.63406532372552,1.561542319665106,1.595219698061546,1.574161394762835,1.568139491317168,1.585046098915162,1.54841811110943,1.594510060217216,1.53352417535431,1.602799515476257,1.521932814159702
1.346022895668484,2.299629718552744,1.465603753590825,2.293569033567899,1.515618336610022,2.052919788323405,1.545764568144958,1.887683098892298,1.568055614740915,1.785939019763719,1.586070678253314,1.72148433832932,1.60115453393808,1.678529658482063,1.613999576870435,1.648459947364114,1.625058196737891,1.626494711013566,1.634662830387862,1.609867633019202,1.643069931518201,1.596903671015222
1.373129236216742,2.399246495374598,1.499341481847404,2.422950009306316,1.552977988074606,2.17458603216963,1.584998986488739,1.998036062084392,1.608279950336492,1.887479814195522,1.626868017933601,1.816742046680946,1.642321595995233,1.769297457842947,1.655428648449338,1.735938745172787,1.666686492598918,1.711493816442317,1.67645034723802,1.692945642853777,1.684989198111598,1.678457018004227
1.400847961938956,2.502349556053417,1.533932157735001,2.560714254908601,1.591435811421908,2.306020187066973,1.625540488947602,2.118053018807859,1.649956166178024,1.998214551558809,1.669211452195964,1.92071765991558,1.6850966322835,1.86838317444346,1.698507814578355,1.831414594976958,1.709994765051075,1.804234091436221,1.719939885210818,1.783559127577457,1.728627316281035,1.767378400339944
1.429223622521684,2.608980321726922,1.569399747504846,2.707275993051597,1.631009097312195,2.44798444165803,1.66741128583483,2.248660497347565,1.693117045059274,2.119123250000437,1.713144256063661,2.034395520098887,1.729531523826338,1.976757232939333,1.743295631320871,1.935838778496638,1.755046703944313,1.905647470009922,1.765199120511631,1.882622213594929,1.774055107409074,1.864566129191248
1.458275947603293,2.719067206146911,1.605772038374334,2.863050689898021,1.671717104188927,2.601280746743436,1.710632985465613,2.390861776112163,1.737793463786727,2.251287619964056,1.758707608521993,2.158876016095446,1.775676400430026,2.09551376934734,1.789849425245325,2.05029016689803,1.801905308174383,2.016795283350743,1.812295534355536,1.991179109634684,1.821343635108085,1.971048677097905
1.488039515077373,2.832573120773419,1.64308101132741,3.028453345073257,1.713581765284317,2.766749714777352,1.755227138954458,2.545739478466769,1.784014509150013,2.395898351407273,1.805940340389939,2.29538693582203,1.823579156971507,2.225885022834269,1.838224685152621,2.175991769457581,1.850632219723528,2.13888632211956,1.861295727670477,2.110423238596221,1.870548995201786,2.087969098213366
1.518551940856822,2.949451699946482,1.681363194192874,3.203896815890799,1.756628431728907,2.945269165743624,1.801215930781348,2.714457574184119,1.831807764960572,2.554262071219871,1.854878808442592,2.445295072250979,1.87328503213502,2.369256632595876,1.888474458706694,2.314328779719992,1.901287017597024,2.273296893549781,1.912264662353313,2.241718769094555,1.921780748838245,2.216776200718737
1.549854011410197,3.069647733054674,1.720659996016596,3.389790202511619,1.800886634468029,3.137752354530881,1.848623008693504,2.898262716799399,1.881199794969262,2.727807779168089,1.905556940635559,2.610117853167326,1.924836298898067,2.527183650473083,1.940648798626258,2.46686801355483,1.953926508116965,2.421592866557692,1.965264856718711,2.386624638443748,1.975072887505071,2.35893951986342
1.581989830788085,3.193097668926653,1.761018025647969,3.58653731795466,1.846390848026026,3.345145926636036,1.897474438439485,3.098484868863479,1.932216838580356,2.918092567854754,1.958006496862291,2.791534720921136,1.978272123241056,2.701407005161767,1.99479431524383,2.635378544333595,2.008604062656192,2.585553608126884,2.020320020071463,2.54681428960834,2.030466487044525,2.51616357422885
1.615006985460126,3.319730182918499,1.802489399177799,3.794535263435998,1.893181240878743,3.568427658543324,1.94779976136349,3.316537194845819,1.984885725446795,3.126806441663377,2.012257584858591,2.991397953338044,2.03362865135281,2.893870076661709,2.050953903006911,2.821853236649658,2.065369069104802,2.767197599754796,2.077592041948018,2.724638363340763,2.088085019824481,2.690661776494773
1.648956730303016,3.449466796526,1.845132042326996,4.014173125576629,1.941304400149488,3.808604045833344,1.999633126914421,3.553915232567464,2.039235001996445,3.355776072944551,2.068339461024006,3.211742596156637,2.090939384310942,3.10673496677989,2.109166715816787,3.028530766618032,2.124266577260089,2.9688093854327,2.137004146924174,2.922016836188237,2.147951491975123,2.884671336759476
1.683894199115219,3.582222538940651,1.889009995056849,4.245830807750565,1.990814022260162,4.066707805579715,2.05301446843327,3.812195386372096,2.095296248935488,3.606967371026777,2.126281631065601,3.454795176286215,2.150235891338291,3.342397991690283,2.169468467589722,3.257917602179961,2.185337228307829,3.192967348028893,2.198682740432121,3.141833259738639,2.210116444027737,3.100849750910494
